village_id,candidate_minigrids,existing_minigrids,facilities,grid_extension,existing_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area,contains_protected_area,protected_area_name,electrification_strategy
5501324,1,0,1,0,0,0.0,0.0,1635.172154017857,306,36,1,0,0,0,0,0,0,0,28.8,1.3725,False,,Candidate minigrid
5502037,1,0,2,0,0,0.4160136878490448,1.4464860216725424,1688.0299556213015,374,63,0,0,0,0,0,0,0,25,4.8975,0.1075,False,,Candidate minigrid
5502858,1,0,0,0,0,0.0,0.0,1679.942471590909,108,24,0,0,0,0,0,0,0,5,4.34,0.065,False,,Candidate minigrid
5502868,2,0,1,0,0,0.0,0.0,1668.3401692708333,208,42,1,0,0,0,0,0,0,24,20.3,0.6366666666666666,False,,Candidate minigrid
5502888,1,0,0,0,0,0.0,0.0,1652.68017578125,268,30,0,0,0,0,0,0,0,24,9.8875,0.1033333333333333,False,,Candidate minigrid
5502892,1,0,0,0,0,0.3917864561080932,1.4138227290884322,1651.1540625,262,15,0,0,0,0,0,0,0,2,10.815,0.045,False,,Candidate minigrid
5502898,2,0,1,0,0,0.3971754908561706,1.4179281455822683,1656.500244140625,362,48,1,0,0,0,0,0,0,3,16.92,2.4325,False,,Candidate minigrid
5502899,1,0,0,0,0,0.0,0.0,1659.0698939732142,279,21,0,0,0,0,0,0,0,1,22.293333333333333,0.4166666666666667,False,,Candidate minigrid
5502900,1,0,0,0,0,0.0,0.0,1656.40869140625,111,14,0,0,0,0,0,0,0,4,14.99,0.4933333333333333,False,,Candidate minigrid
5502901,2,0,0,0,0,0.0,0.0,1662.1158447265625,1450,40,0,0,0,0,0,0,0,3,15.7275,1.5675,False,,Candidate minigrid
5502902,1,0,1,0,0,0.4155911207199096,1.3902774639064348,1663.0681928294573,235,11,1,0,0,0,0,0,0,7,15.8075,0.04,True,Achwa River Forest Reserve,Candidate minigrid
5502905,2,1,2,0,0,0.0,0.0,1663.330078125,2746,199,1,1,0,0,0,0,0,1,14.095,6.279999999999999,False,,Candidate minigrid
5502906,1,0,1,0,0,0.0,0.0,1659.556919642857,426,75,1,0,0,0,0,3,0,3,15.7,0.8575,False,,Candidate minigrid
5502909,1,0,1,0,0,0.0,0.0,1657.034877232143,277,32,1,0,0,0,0,0,0,0,12.046666666666669,0.5275,False,,Candidate minigrid
5502921,1,1,0,0,0,0.0,0.0,1676.2401785714285,4108,166,0,0,0,0,0,0,0,37,5.125,1.1925,True,Achwa River Forest Reserve,Candidate minigrid
5502922,1,0,0,0,0,0.4355545043945312,1.3999615752199075,1678.954963235294,3692,130,0,0,0,0,0,0,0,32,5.1225000000000005,0.4925,False,,Candidate minigrid
5502932,1,0,0,0,0,0.0,0.0,1650.405029296875,160,36,0,0,0,0,0,0,0,2,14.6175,0.1974999999999999,False,,Candidate minigrid
5502938,1,0,0,0,0,0.0,0.0,1645.634033203125,125,22,0,0,0,0,0,0,0,1,24.326666666666668,4.725,False,,Candidate minigrid
5502941,1,0,0,0,0,0.0,0.0,1636.2103515625,203,43,0,0,0,0,0,0,0,1,20.825,1.093333333333333,True,Lamwo Forest Reserve,Candidate minigrid
5502942,1,0,1,0,0,0.0,0.0,1652.6768002717392,145,25,1,0,0,0,0,0,0,0,11.795,0.615,False,,Candidate minigrid
5502944,1,0,0,0,0,0.3340424001216888,1.2333203595806714,1632.2212456597222,134,16,0,0,0,0,0,0,0,0,20.077500000000004,0.96,True,Lamwo Forest Reserve,Candidate minigrid
5502952,1,0,0,0,0,0.0,0.0,1646.6077473958333,236,20,0,0,0,0,0,0,0,0,24.46333333333333,2.4725,False,,Candidate minigrid
5502953,1,0,0,0,0,0.0,0.0,1657.5045138888888,165,21,0,0,0,0,0,0,0,5,15.625,0.2925,False,,Candidate minigrid
5502954,1,0,1,0,0,0.0,0.0,1660.436740451389,199,29,1,0,0,0,0,0,0,22,13.3025,0.35,False,,Candidate minigrid
5502955,1,0,0,0,0,0.0,0.0,1656.682861328125,52,7,0,0,0,0,0,0,0,2,16.073333333333334,0.58,False,,Candidate minigrid
5502981,1,0,0,0,0,0.0,0.0,1653.7060546875,144,15,0,0,0,0,0,0,1,0,20.9,0.8325,False,,Candidate minigrid
5503050,1,0,1,0,0,0.0,0.0,1639.698486328125,228,32,1,0,0,0,0,0,0,0,15.626666666666663,0.68,False,,Candidate minigrid
5503092,1,0,0,0,0,0.0,0.0,1648.6015625,361,33,0,0,0,0,0,0,1,0,19.13,2.306666666666666,False,,Candidate minigrid
5503112,1,0,0,0,0,0.0,0.0,1614.77001953125,90,3,0,0,0,0,0,0,0,0,12.429999999999998,1.4066666666666665,True,Agoro - Agu Forest Reserve,Candidate minigrid
5503118,1,0,0,0,0,0.0,0.0,1585.0633138020833,145,5,0,0,0,0,0,0,0,0,14.802500000000002,0.43,False,,Candidate minigrid
5503121,1,0,0,0,0,0.0,0.0,1557.242919921875,146,3,0,0,0,0,0,0,0,2,23.9625,4.4925,True,Agoro - Agu Forest Reserve,Candidate minigrid
5503132,1,0,0,0,0,0.0,0.0,1643.077237215909,123,6,0,0,0,0,0,0,1,0,15.2225,0.6633333333333334,False,,Candidate minigrid
5503134,2,0,1,0,0,0.0,0.0,1646.824898097826,540,58,1,0,0,0,0,0,0,1,18.415,0.9025,False,,Candidate minigrid
5503137,2,0,1,0,0,0.3262018263339996,1.141316210551359,1648.373291015625,162,11,1,0,0,0,0,0,0,1,16.3075,2.75,False,,Candidate minigrid
5503140,1,0,1,0,0,0.0,0.0,1645.8579545454545,27,10,0,0,0,0,0,0,0,2,1.31,0.0225,False,,Candidate minigrid
5503142,2,0,0,0,0,0.0,0.0,1652.601444128788,143,20,0,0,0,0,0,0,0,3,5.44,0.3933333333333333,False,,Candidate minigrid
5503150,1,0,1,0,0,0.0,0.0,1652.3177734375,206,47,1,0,0,0,0,0,0,0,15.8875,3.0175,False,,Candidate minigrid
5503193,1,0,0,0,0,0.3418930172920227,1.3649976128266912,1650.0775824652778,250,41,0,0,0,0,0,0,0,2,18.75333333333333,2.4325,False,,Candidate minigrid
5503210,1,0,0,0,0,0.4243477284908294,1.4188129285682278,1665.5485101744189,195,41,0,0,0,0,0,1,0,5,9.6375,0.0466666666666666,True,Aram Forest Reserve,Candidate minigrid
